Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
763,283,8,0,31,331800.0,304.0,593
139,149,0,0,11,590900.0,322.0,519
1299,61,9,0,31,229954.0,130.0,414
760,42,5,0,31,255600.0,218.0,391
1296,282,9,2,31,219300.0,168.0,363
1183,285,0,0,35,738000.0,328.0,349
1278,188,0,0,31,345000.0,323.0,319
1298,289,9,2,34,236594.0,126.0,309
143,100,5,0,31,180000.0,188.0,301
102,117,14,0,31,793888.0,496.0,292
1189,42,5,2,31,128730.0,92.0,288
1026,96,0,0,31,695000.0,425.0,259
1402,177,6,2,31,359000.0,194.0,210
109,285,0,0,35,750000.0,450.0,203
1752,249,0,0,31,394000.0,307.0,202
1219,107,0,0,31,450000.0,326.0,195
1502,38,0,0,34,400000.0,214.0,193
1256,126,0,2,31,170800.0,125.0,188
1011,299,0,0,31,832000.0,471.0,184
1382,249,0,2,31,672000.0,396.0,183
1041,126,0,0,8,343400.0,140.0,181
1562,188,0,0,34,380000.0,387.0,177
81,198,0,0,31,500000.0,392.0,173
1095,285,0,0,11,504000.0,331.0,172
391,96,0,0,31,1180000.0,500.0,171
204,233,14,0,5,290000.0,232.0,166
272,249,0,0,30,452900.0,602.0,165
87,60,9,0,35,472800.0,235.0,164
1136,285,0,0,34,930000.0,470.0,163
1410,181,0,0,31,80000.0,74.0,156
76,149,0,1,11,553200.0,297.0,155
968,156,6,2,31,476240.0,310.0,152
1446,197,0,0,31,527500.0,286.0,152
491,188,0,0,31,551650.0,384.0,149
401,149,0,0,31,680000.0,377.0,145
1062,233,14,2,31,200000.0,186.0,144
1601,192,8,0,31,307000.0,277.0,141
1598,124,14,0,31,450000.0,357.0,141
962,268,5,0,35,298800.0,194.0,140
779,240,14,0,24,495000.0,308.0,140
1507,299,0,0,31,450000.0,294.0,138
1604,180,1,0,35,199800.0,143.0,136
1769,188,0,0,5,397800.0,258.0,135
85,248,9,0,11,245000.0,139.0,128
1663,126,0,0,31,419444.0,200.0,124
150,94,14,0,34,913800.0,432.0,123
1729,54,5,2,31,270000.0,175.0,123
633,124,14,0,31,350000.0,252.0,122
1751,249,0,0,31,530000.0,322.0,122
333,240,14,0,31,1060888.0,550.0,120
1635,285,0,0,31,610000.0,382.0,118
777,240,14,2,31,472800.0,309.0,118
981,38,0,0,31,618500.0,388.0,118
1554,126,0,0,31,150000.0,107.0,117
351,249,0,0,16,140000.0,283.0,117
524,188,0,0,31,580000.0,414.0,115
1647,249,0,0,31,435000.0,325.0,114
1378,249,0,0,10,1114310.0,483.0,114
200,233,14,0,31,300000.0,222.0,113
1545,164,0,0,31,430000.0,279.0,111
813,274,0,0,11,911890.0,435.0,110
233,94,14,0,31,509800.0,392.0,109
13,238,14,0,31,872999.0,496.0,109
1564,132,0,2,31,80000.0,104.0,105
486,29,14,0,24,180000.0,129.0,104
120,65,14,0,37,640000.0,422.0,103
626,248,9,0,31,270610.0,193.0,102
119,276,14,0,31,400000.0,258.0,102
579,98,3,0,30,580000.0,611.0,102
12,240,14,0,31,887800.0,488.0,99
